Linux 2.6.32-358.2.1.el6.x86_64 (n020303) 	2013-05-30 	_x86_64_	(24 CPU)

00:00:01          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
05:20:01       dev9-1      0,71      0,00      5,69      8,00      0,00      0,00      0,00      0,00
05:20:01       dev9-3    145,11   3671,21  10839,42     99,99      0,00      0,00      0,00      0,00
05:20:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:30:01      dev8-16     45,00   2244,16   5383,37    169,52      0,37      8,18      1,93      8,70
05:30:01       dev8-0     44,77   2246,81   5383,17    170,43      0,33      7,45      1,91      8,53
05:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:30:01       dev9-1      0,77      0,00      6,11      7,98      0,00      0,00      0,00      0,00
05:30:01       dev9-3    155,35   4490,98  10750,08     98,11      0,00      0,00      0,00      0,00
05:30:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:40:01      dev8-16     41,71   1917,54   5421,74    175,96      0,31      7,32      1,96      8,15
05:40:01       dev8-0     41,66   1917,67   5421,71    176,18      0,28      6,62      1,94      8,08
05:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:40:01       dev9-1      0,80      0,00      6,38      8,00      0,00      0,00      0,00      0,00
05:40:01       dev9-3    147,92   3835,10  10826,22     99,12      0,00      0,00      0,00      0,00
05:40:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:50:01      dev8-16     33,96   2101,79   4767,17    202,26      0,22      6,46      2,16      7,34
05:50:01       dev8-0     33,58   2105,40   4769,03    204,74      0,20      5,92      2,13      7,15
05:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
05:50:01       dev9-1      0,69      0,00      5,50      8,00      0,00      0,00      0,00      0,00
05:50:01       dev9-3    133,34   4207,19   9521,39    102,96      0,00      0,00      0,00      0,00
05:50:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:00:01      dev8-16     11,30   1018,95    158,38    104,14      0,11      9,73      2,26      2,55
06:00:01       dev8-0     11,11   1017,81    155,51    105,63      0,10      8,79      1,94      2,16
06:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:00:01       dev9-1      0,71      0,00      5,65      8,00      0,00      0,00      0,00      0,00
06:00:01       dev9-3     27,11   2036,76    298,76     86,14      0,00      0,00      0,00      0,00
06:00:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:10:01      dev8-16      9,10    683,64    204,10     97,55      0,08      8,62      2,67      2,43
06:10:01       dev8-0      8,45    684,41    199,30    104,64      0,07      7,81      2,47      2,09
06:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:10:01       dev9-1      0,86      0,00      6,90      7,98      0,00      0,00      0,00      0,00
06:10:01       dev9-3     20,77   1367,81    384,85     84,39      0,00      0,00      0,00      0,00
06:10:01       dev9-2      0,02      0,13      0,00      8,00      0,00      0,00      0,00      0,00
06:20:01      dev8-16     10,40    809,43    142,47     91,53      0,10      9,31      2,35      2,45
06:20:01       dev8-0      9,80    809,91    137,42     96,64      0,08      7,81      2,12      2,08
06:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:20:01       dev9-1      0,73      0,00      5,83      8,00      0,00      0,00      0,00      0,00
06:20:01       dev9-3     22,74   1619,34    264,05     82,83      0,00      0,00      0,00      0,00
06:20:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:30:01      dev8-16    156,14   1524,22   1666,81     20,44      0,23      1,45      0,71     11,12
06:30:01       dev8-0    156,48   1524,73   1689,59     20,54      0,22      1,39      0,72     11,22
06:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:30:01       dev9-1      0,76      0,30      6,03      8,28      0,00      0,00      0,00      0,00
06:30:01       dev9-3    212,79   3043,13   3340,35     30,00      0,00      0,00      0,00      0,00
06:30:01       dev9-2      0,69      5,52      0,00      8,00      0,00      0,00      0,00      0,00
06:40:01      dev8-16     40,05   1735,80   5388,63    177,89      0,28      6,88      1,95      7,79
06:40:01       dev8-0     39,88   1734,73   5386,19    178,55      0,27      6,73      1,94      7,72
06:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:40:01       dev9-1      0,88      0,28      6,94      8,18      0,00      0,00      0,00      0,00
06:40:01       dev9-3    142,23   3469,68  10756,55    100,03      0,00      0,00      0,00      0,00
06:40:01       dev9-2      0,06      0,46      0,00      8,00      0,00      0,00      0,00      0,00
06:50:01      dev8-16     31,54   1258,35   5406,96    211,33      0,18      5,72      2,23      7,04
06:50:01       dev8-0     31,31   1260,29   5408,92    213,00      0,17      5,46      2,23      6,98
06:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
06:50:01       dev9-1      0,75      0,00      5,97      8,00      0,00      0,00      0,00      0,00
06:50:01       dev9-3    128,26   2518,64  10799,96    103,84      0,00      0,00      0,00      0,00
06:50:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:00:01      dev8-16     35,31   1973,25   5394,94    208,68      0,22      6,19      2,17      7,66
07:00:01       dev8-0     35,27   1972,39   5396,00    208,91      0,22      6,19      2,19      7,72
07:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:00:01       dev9-1      0,72      0,00      5,77      8,00      0,00      0,00      0,00      0,00
07:00:01       dev9-3    141,21   3945,53  10775,36    104,25      0,00      0,00      0,00      0,00
07:00:01       dev9-2      0,01      0,11      0,00      8,00      0,00      0,00      0,00      0,00
07:10:01      dev8-16     36,68   1584,15   5417,13    190,89      0,24      6,54      2,04      7,49
07:10:01       dev8-0     36,62   1585,09   5417,87    191,26      0,23      6,19      2,02      7,41
07:10:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:10:01       dev9-1      0,82      0,00      6,59      8,00      0,00      0,00      0,00      0,00
07:10:01       dev9-3    137,34   3168,90  10817,36    101,84      0,00      0,00      0,00      0,00
07:10:01       dev9-2      0,03      0,23      0,00      8,00      0,00      0,00      0,00      0,00
07:20:01      dev8-16     33,54   1402,94   5410,33    203,16      0,21      6,41      2,19      7,35
07:20:01       dev8-0     33,38   1403,15   5408,83    204,06      0,20      6,08      2,17      7,23
07:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:20:01       dev9-1      0,72      0,00      5,79      8,00      0,00      0,00      0,00      0,00
07:20:01       dev9-3    132,30   2806,09  10803,85    102,87      0,00      0,00      0,00      0,00
07:20:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:30:01      dev8-16     30,24   1286,86   5429,27    222,09      0,17      5,63      2,44      7,39
07:30:01       dev8-0     30,68   1285,05   5430,00    218,89      0,17      5,38      2,42      7,44
07:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:30:01       dev9-1      0,78      0,01      6,22      8,00      0,00      0,00      0,00      0,00
07:30:01       dev9-3    127,71   2571,89  10842,61    105,03      0,00      0,00      0,00      0,00
07:30:01       dev9-2      0,00      0,01      0,00      8,00      0,00      0,00      0,00      0,00
07:40:01      dev8-16     30,87   1444,69   5439,09    222,98      0,17      5,46      2,38      7,34
07:40:01       dev8-0     31,10   1442,72   5438,69    221,30      0,16      5,30      2,43      7,54
07:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:40:01       dev9-1      0,80      0,00      6,42      8,00      0,00      0,00      0,00      0,00
07:40:01       dev9-3    130,35   2887,15  10860,75    105,47      0,00      0,00      0,00      0,00
07:40:01       dev9-2      0,02      0,15      0,00      8,00      0,00      0,00      0,00      0,00
07:50:01      dev8-16     34,55   2049,01   5352,26    214,21      0,23      6,73      2,29      7,93
07:50:01       dev8-0     33,88   2047,61   5346,44    218,25      0,22      6,39      2,26      7,64
07:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
07:50:01       dev9-1      0,72      0,00      5,78      8,00      0,00      0,00      0,00      0,00
07:50:01       dev9-3    140,32   4096,63  10683,25    105,33      0,00      0,00      0,00      0,00
07:50:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:00:01      dev8-16     34,09   1924,69   5415,13    215,31      0,22      6,34      2,31      7,87
08:00:01       dev8-0     33,78   1921,97   5409,98    217,07      0,21      6,11      2,28      7,71
08:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
08:00:01       dev9-1      0,71      0,00      5,72      8,00      0,00      0,00      0,00      0,00
08:00:01       dev9-3    139,49   3846,40  10809,91    105,07      0,00      0,00      0,00      0,00
08:00:01       dev9-2      0,03      0,27      0,00      8,00      0,00      0,00      0,00      0,00
